#Digilent WaveForms Oscilloscope Acquisition,,,,,,,,,,
#Device Name: Discovery2,,,,,,,,,,
#Serial Number: SN:210321A35E99,,,,,,,,,,
#Date Time: 2024-12-02 09:22:30.457,,,,,,,,,,
#Sample rate: 5000Hz,,,,,,,,,,
#Samples: 25000,,,,,,,,,,
#Channel 1: Range: 500 mV/div Offset: -2 V Sample Mode: Average,,,,,,,,,,
,,,,,,,,,,
Time (s),EXP11,EXP12,EXP13,EXP14,EXP15,EXP21,EXP22,EXP23,EXP24,EXP25
4.4052,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4054,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4056,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4058,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.406,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4062,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4064,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4066,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4068,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.407,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4072,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4074,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4076,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4078,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.408,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4082,0.835515727,0.835515727,0.835515727,0.835515727,0.835515727,0.835515727,0.835515727,0.835515727,0.835515727,0.835515727
4.4084,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4086,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4088,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.409,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4092,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4094,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4096,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4098,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.41,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4102,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4104,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4106,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4108,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.411,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4112,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4114,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4116,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4118,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.412,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4122,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4124,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4126,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4128,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.413,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4132,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4134,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4136,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4138,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.414,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4142,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4144,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4146,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4148,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.415,0.835515727,0.835515727,0.835515727,0.835515727,0.835515727,0.835515727,0.835515727,0.835515727,0.835515727,0.835515727
4.4152,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4154,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4156,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.4158,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
4.416,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324,0.835850324
